     25543:	symbol=__vdso_clock_gettime;  lookup in file=linux-vdso.so.1 [0]
     25543:	symbol=__vdso_gettimeofday;  lookup in file=linux-vdso.so.1 [0]
     25543:	symbol=__vdso_time;  lookup in file=linux-vdso.so.1 [0]
     25543:	symbol=__vdso_getcpu;  lookup in file=linux-vdso.so.1 [0]
     25543:	symbol=__vdso_clock_getres;  lookup in file=linux-vdso.so.1 [0]
     25543:	symbol=_res;  lookup in file=cat [0]
     25543:	symbol=_res;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=svc_max_pollfd;  lookup in file=cat [0]
     25543:	symbol=svc_max_pollfd;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=obstack_alloc_failed_handler;  lookup in file=cat [0]
     25543:	symbol=obstack_alloc_failed_handler;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__ctype_toupper;  lookup in file=cat [0]
     25543:	symbol=__ctype_toupper;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=loc1;  lookup in file=cat [0]
     25543:	symbol=loc1;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=_dl_argv;  lookup in file=cat [0]
     25543:	symbol=_dl_argv;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=_dl_argv;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     25543:	symbol=__libc_single_threaded;  lookup in file=cat [0]
     25543:	symbol=__libc_single_threaded;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=free;  lookup in file=cat [0]
     25543:	symbol=free;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=re_syntax_options;  lookup in file=cat [0]
     25543:	symbol=re_syntax_options;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=rpc_createerr;  lookup in file=cat [0]
     25543:	symbol=rpc_createerr;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=stdout;  lookup in file=cat [0]
     25543:	symbol=stdout;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__ctype32_toupper;  lookup in file=cat [0]
     25543:	symbol=__ctype32_toupper;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=opterr;  lookup in file=cat [0]
     25543:	symbol=opterr;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=getdate_err;  lookup in file=cat [0]
     25543:	symbol=getdate_err;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__curbrk;  lookup in file=cat [0]
     25543:	symbol=__curbrk;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=loc2;  lookup in file=cat [0]
     25543:	symbol=loc2;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=program_invocation_name;  lookup in file=cat [0]
     25543:	symbol=program_invocation_name;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__fpu_control;  lookup in file=cat [0]
     25543:	symbol=__fpu_control;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__libc_enable_secure;  lookup in file=cat [0]
     25543:	symbol=__libc_enable_secure;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
